ITEM,DESCRIPCIÓN,UN,CANTIDAD,VALOR UNITARIO,VALOR UNITARIO OFERTADO
1,PRELIMINARES PROVISIONALES DE OBRA Y DEMOLICIONES,,,,
1.1,ACTIVIDADES PRELIMINARES,,,,
1.1.1,"LOCALIZACIÓN Y REPLANTEO POR METRO CUADRADO DE ÁREA CONSTRUIDA (ÁREA CON EJECUCIÓN DE OBRA CIVIL CUBIERTA).",M2,1,$ 5866.00,$ 5531.00
1.1.2,"CERRAMIENTO PROVISIONAL CON POSTES EN CONCRETO Y ALAMBRE DE PÚAS H.=2,20 M; POSTES PREFABRICADOS EN CONCRETO CON SECCIÓN 11,0X11,0 CM Y H.=2,50 M HINCADOS 30,0 CM EN EL TERRENO NATURAL, DISTANCIADOS CADA 3,00 M ENTRE EJES; ALAMBRE DE PÚAS CAL.14 DISPUESTO EN SEIS (6) FILAS / HILOS SEPARADOS CADA 31,0 CM. EL PAGO POR METRO LINEAL SERÁ MEDIDO EN PLANTA.",M,1,$ 57054.00,$ 53796.00
1.2,DEMOLICIONES,,,,
1.2.1,DEMOLICIÓN DE MUROS EN MAMPOSTERÍA E=0.15 M (INCLUYE RETIRO),M2,1,$ 28500.00,$ 27000.00
1.2.2,DEMOLICIÓN DE PISO EN CONCRETO E=0.10 M (INCLUYE RETIRO),M2,1,$ 35000.00,$ 33500.00
1.3,EXCAVACIONES,,,,
1.3.1,EXCAVACIÓN MANUAL EN TIERRA (INCLUYE RETIRO),M3,1,$ 45000.00,$ 42500.00
1.3.2,RELLENO COMPACTADO CON MATERIAL SELECCIONADO,M3,1,$ 52000.00,$ 49500.00
