No.,DESCRIPCIÓN,UND.,VR. UNIT.
I,ÍTEMS CONTRACTUALES,,
1,PRELIMINARES,,
1.1,LOCALIZACIÓN Y REPLANTEO,M2,$ 10016.0
1.2,DESCAPOTE Y LIMPIEZA (INCLUYE RETIRO),M2,$ 36463.0
1.3,CERRAMIENTO PROVISIONAL CON ALAMBRE DE PÚAS,M,$ 55000.0
1.4,DESMONTE DE VENTANAS (INCLUYE RETIRO),UN,$ 18000.0
1.5,DESMONTE DE MARCOS Y PUERTAS (INCLUYE RETIRO),UN,$ 34000.0
2,DEMOLICIONES,,
2.1,DEMOLICIÓN MUROS MAMPOSTERÍA (INCLUYE RETIRO),M2,$ 29000.0
2.2,DEMOLICIÓN PISO CONCRETO (INCLUYE RETIRO),M2,$ 34500.0
2.3,RETIRO ESCOMBROS,M3,$ 45000.0
3,MOVIMIENTO DE TIERRAS,,
3.1,EXCAVACIÓN MANUAL (INCLUYE RETIRO),M3,$ 43000.0
3.2,RELLENO Y COMPACTACIÓN CON MATERIAL,M3,$ 51000.0
3.3,NIVELACIÓN DE TERRENO,M2,$ 25000.0
