ÍTEM,DESCRIPCIÓN,UNIDAD,VR. UNITARIO
1,OBRAS PRELIMINARES,,
1.1,REPLANTEO Y LOCALIZACIÓN DE OBRA,M2,$ 9500.00
1.2,CERRAMIENTO TEMPORAL ALAMBRE PÚAS H=2.20M,M,$ 54200.00
1.3,LIMPIEZA Y DESCAPOTE DEL TERRENO,M2,$ 37000.00
2,TRABAJOS DE DEMOLICIÓN,,
2.1,DEMOLER MURO DE MAMPOSTERÍA INCLUYE RETIRO,M2,$ 28000.00
2.2,DEMOLER PLACA DE PISO CONCRETO E=10CM,M2,$ 35500.00
2.3,RETIRO MATERIAL DEMOLICIÓN,M3,$ 42000.00
3,MOVIMIENTOS DE TIERRA,,
3.1,EXCAVACIÓN MANUAL EN SUELO (CON RETIRO),M3,$ 44500.00
3.2,RELLENO CON MATERIAL SELECCIONADO Y COMPACTADO,M3,$ 50500.00
3.3,CONFORMACIÓN Y NIVELACIÓN DE TERRENO,M2,$ 26000.00
4,CAMPAMENTOS TEMPORALES,,
4.1,CAMPAMENTO PROVISIONAL 18 M2,UN,$ 3250000.00
4.2,CAMPAMENTO PROVISIONAL 9 M2,UN,$ 1890000.00
